dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
c10,densenet40,5000,10000,10,0.10979359630153918,0.2206201829289852,0.009335211478173733,0.925599992275238,0.393554899841547
c10,lenet5,5000,10000,10,0.3503188122277674,0.7427513236182617,0.014122228138148785,0.7465000152587891,0.3721850998699665
c10,resnet_wide32,5000,10000,10,0.08895264581025913,0.18122684760989163,0.006912141107022762,0.9419000148773193,0.29632727429270744
c10,resnet110,5000,10000,10,0.09739886262382533,0.20311884401132135,0.01048419252038002,0.9352999925613403,0.23443641886115074
c10,resnet110_SD,5000,10000,10,0.08660235685397302,0.17453138660846554,0.007406505756080151,0.9423999786376953,0.2997651807963848
c100,densenet40,5000,10000,100,0.39889661373336077,1.0482394085201259,0.012050168588757515,0.7021999955177307,0.40456707403063774
c100,lenet5,5000,10000,100,0.7677974381573787,2.5147163209427834,0.03938755393028259,0.3677999973297119,0.4159449264407158
c100,resnet_wide32,5000,10000,100,0.3515319982291549,0.9332416093730359,0.014401069842278957,0.7401999831199646,0.3447546884417534
c100,resnet110,5000,10000,100,0.3915986974633999,1.0850123174542095,0.021750638261437416,0.7160999774932861,0.346521008759737
c100,resnet110_SD,5000,10000,100,0.3581404262914669,0.915468804155969,0.008774730376899242,0.7373999953269958,0.39733268320560455
birds,resnet50,2897,2897,200,0.3664056237149864,0.9866818027180135,0.01802431233227253,0.7293752431869507,0.3206370174884796
SVHN,resnet152_SD,6000,26032,10,0.029636361841870885,0.08127670470878597,0.006658016704022884,0.9817147850990295,0.21979493275284767
derma,beit,1003,2005,7,0.34812816580308764,0.7255808453453291,0.024356525391340256,0.7496259212493896,0.0953853614628315
derma,convnext,1003,2005,7,0.1632967506547505,0.33972564405480343,0.011806115508079529,0.8902742862701416,0.08568644151091576
derma,resnet50,1003,2005,7,0.17500600629736682,0.3551450517252756,0.015371328219771385,0.8812967538833618,0.08435999974608421
derma,vit,1003,2005,7,0.3680904718087996,0.7521731375605437,0.03153926879167557,0.73615962266922,0.08690493926405907
oct,beit,10832,1000,4,0.35501711213537995,0.6737259222445675,0.13353024423122406,0.7630000114440918,0.18702038004994392
oct,convnext,10832,1000,4,0.17270383729186078,0.33978691840910563,0.04704447090625763,0.8949999809265137,0.16350110992789268
oct,resnet50,10832,1000,4,0.188644311728527,0.3824535912929463,0.06687206029891968,0.878000020980835,0.1935148797929287
oct,vit,10832,1000,4,0.43453547325592284,0.8247967252301174,0.14591504633426666,0.7089999914169312,0.2221161611378193
