dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
c10,densenet40,5000,10000,0.019556508823157084,,0.004847862757742405,0.006785798352211714,0.9886000156402588,0.02990926057100296
c10,lenet5,5000,10000,0.07547304353915067,,0.011680836789309978,0.01944160647690296,0.9492999911308289,0.02544240653514862
c10,resnet_wide32,5000,10000,0.012862840227768015,,0.0020734774880111217,0.003703607013449073,0.9923999905586243,0.02487523853778839
c10,resnet110,5000,10000,0.017187330484986378,,0.0036933831870555878,0.005095223430544138,0.9901999831199646,0.024743597954511642
c10,resnet110_SD,5000,10000,0.01482725771943057,,0.004106242209672928,0.004878224339336157,0.9907000064849854,0.024458564817905426
breast,beit,78,156,0.3152941065685065,,0.06435419619083405,0.08882688730955124,0.8012820482254028,0.0009904131293296814
breast,convnext,78,156,0.1976753315256572,,0.043243180960416794,0.05621057748794556,0.8717948794364929,0.0009901411831378937
breast,resnet50,78,156,0.19947179068354046,,0.054908741265535355,0.0773695707321167,0.8782051205635071,0.0009788013994693756
breast,vit,78,156,0.2919863216337106,0.46764133177519623,0.02683939039707184,0.04119061306118965,0.8205128312110901,0.0009796284139156342
pneumonia,beit,524,624,0.24402165413785476,,0.11745661497116089,0.11599726974964142,0.8445512652397156,0.003276526927947998
pneumonia,convnext,524,624,0.18488929449908995,,0.0959634780883789,0.09726138412952423,0.9022436141967773,0.0033277906477451324
pneumonia,resnet50,524,624,0.17205657645901695,,0.0963323563337326,0.0943719819188118,0.9054487347602844,0.0032857805490493774
pneumonia,vit,524,624,0.270163771451348,,0.14123354852199554,0.13776983320713043,0.8397436141967773,0.003268655389547348
