dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
APSFailure,TabPFN-v2.6,50666,25334,0.029987982345380578,0.052257877451677225,0.013663509860634804,0.0006097067962400615,0.9818820357322693,0.006405152380466461
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08951529040923173,0.16525794016004242,0.02299622818827629,0.0031222589313983917,0.9421404600143433,0.0025423988699913025
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1991354587141839,0.32733069302093115,0.023827018216252327,0.014458175748586655,0.8662267327308655,0.0010439828038215637
Bioresponse,TabPFN-v2.6,2500,1251,0.27380205275779373,0.42540472669648466,0.03166426718235016,0.03888409212231636,0.8009592294692993,0.0006514415144920349
Diabetes130US,TabPFN-v2.6,47678,23840,0.15437178721162265,0.28096642008369727,0.008808527141809464,0.004410772584378719,0.9119966626167297,0.0048348791897296906
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35898992001079866,0.5065483007633724,0.025162026286125183,0.018744613975286484,0.6893918514251709,0.0011258088052272797
Fitness_Club,TabPFN-v2.6,1000,500,0.3164536,0.48345605916519163,0.029819998890161514,0.03991999849677086,0.7799999713897705,0.0004641339182853699
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.10194385380189339,0.1806276170864879,0.02085992507636547,0.0013997969217598438,0.9331600069999695,0.009690314531326294
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2698620193687827,0.4252293453236206,0.026327520608901978,0.011050818488001823,0.8058252334594727,0.001683555543422699
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18857774680429074,0.31940934562867807,0.021944083273410797,0.021856797859072685,0.8852173686027527,0.0004951134324073792
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13720456245808982,0.22058509002644316,0.026108911260962486,0.027182448655366898,0.9062918424606323,0.0005919076502323151
NATICUSdroid,TabPFN-v2.6,4994,2497,0.09228393478312907,0.188057777241581,0.021769613027572632,0.012734804302453995,0.9351221323013306,0.0008239559829235077
bank-marketing,TabPFN-v2.6,30140,15071,0.1770373106808222,0.30495686183322906,0.018983138725161552,0.004849754739552736,0.8830203413963318,0.003126271069049835
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3188425269386506,1.8527842932457959,0.04741877689957619,0.09533895552158356,0.8119999766349792,0.0004403442144393921
churn,TabPFN-v2.6,3333,1667,0.0703014934792966,0.14123349794743179,0.017912456765770912,0.008604631759226322,0.9580084085464478,0.0006722919642925262
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10633630532427973,0.20179229231269546,0.01603199541568756,0.005745815113186836,0.9404398202896118,0.0010207705199718475
credit-g,TabPFN-v2.6,666,334,0.3348372071149688,0.5011345219965395,0.04735439270734787,0.04713910073041916,0.757485032081604,0.00044397637248039246
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2642253536646157,0.4218197106286007,0.01964142918586731,0.00724438251927495,0.823199987411499,0.0022807493805885315
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.06063581251030413,0.0953373299501902,0.02346384897828102,0.0009232868324033916,0.9510324597358704,0.0071432925760746
diabetes,TabPFN-v2.6,512,256,0.3201134013872111,0.47744055429513566,0.027267158031463623,0.06901629269123077,0.75,0.000506080687046051
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.07460068359375,0.23556641459930067,0.02031249925494194,0.016726503148674965,0.9587500095367432,0.0005611628293991089
heloc,TabPFN-v2.6,6972,3487,0.36693093270972793,0.5474203000404959,0.020478852093219757,0.016780102625489235,0.7307140827178955,0.0010613016784191132
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.2998580333376091,0.46383983854189687,0.024953693151474,0.024032408371567726,0.789262056350708,0.0011658333241939545
jm1,TabPFN-v2.6,7256,3629,0.25849409468249,0.4082916749216698,0.021847140043973923,0.009987021796405315,0.8192339539527893,0.0010717064142227173
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.0338358604784236,0.0769949623153134,0.006106528453528881,0.0008284179493784904,0.9821803569793701,0.003300737589597702
